,ChannelID,messageid,issuerid
0,1197210433,5408,90
1,1203560567,64803,57
2,1197210433,23389,152
3,1066174394,677,112
4,1239405989,4486,115
5,1203560567,254477,127
6,1203560567,233362,236
7,1075101206,15948,209
8,1197296889,19568,231
9,1203560567,250959,177
10,1228933667,2346,227
11,1001029560,16624,221
12,1063908560,10700,220
13,1203560567,240887,223
14,1203560567,92554,103
15,1138794914,5017,26
16,1203560567,26440,70
17,1199979298,8040,225
18,1347079925,13238,112
19,1197210433,2080,48
20,1136626166,7086,7
21,1075101206,16031,163
22,1203560567,239548,100
23,1125172232,29843,26
24,1203560567,232153,112
25,1336381049,6107,230
26,1197210433,58986,111
27,1239405989,4983,236
28,1038402501,48334,235
29,1203560567,1172,163
30,1063908560,3149,58
31,1063908560,4505,225
32,1239405989,5301,47
33,1001029560,17027,160
34,1366793743,9441,235
35,1203560567,94863,7
36,1203560567,9577,112
37,1125172232,15822,2
38,1203560567,41672,223
39,1125172232,7245,7
40,1001029560,14802,228
41,1197210433,57849,266
42,1203560567,20802,91
43,1138794914,6439,103
44,1075101206,6389,48
45,1203560567,103106,227
46,1131897537,2767,112
47,1197296889,17928,157
48,1075101206,5461,100
49,1203560567,245164,175
50,1498564557,5797,235
51,1136626166,5583,150
52,1197210433,16816,53
53,1172556372,1058,116
54,1203560567,235479,72
55,1203560567,236873,184
56,1001029560,15393,25
57,1219484576,662,2
58,1404564946,449,231
59,1197210433,47715,150
60,1197210433,50425,157
61,1203560567,16277,48
62,1160971567,3192,185
63,1075565753,31628,115
64,1252550556,1644,241
65,1197296889,15341,56
66,1300011741,11593,32
67,1565800335,2220,273
68,1001029560,15261,235
69,1155666448,659,90
70,1125172232,23586,163
71,1203560567,125137,204
72,1203560567,18336,72
73,1239405989,4668,111
74,1136626166,35637,7
75,1063908560,1111,120
76,1203560567,83544,230
77,1041482399,8881,32
78,1075565753,32968,225
79,1136626166,36893,7
80,1239405989,6862,100
81,1075101206,5111,53
82,1480181440,77,112
83,1203560567,23455,72
84,1203560567,247496,61
85,1160971567,2929,163
86,1300011741,18872,25
87,1203560567,93439,48
88,1125172232,6945,89
89,1203560567,37615,103
90,1203560567,246124,7
91,1075565753,31703,48
92,1203560567,236930,224
93,1075101206,3938,7
94,1320489152,118,62
95,1203560567,236426,100
96,1172556372,3855,56
97,1203560567,235032,157
98,1041482399,9760,7
99,1229197937,2895,70
100,1239071502,27,32
101,1203560567,232841,129
102,1203560567,112806,185
103,1125172232,5189,7
104,1203560567,40666,195
105,1203560567,23450,152
106,1326656811,1001,4
107,1203560567,8001,4
