,MessageID,ChannelID,issuerid,SentimentScore
0,241407,1203560567,153,2
1,33684,1136626166,230,4
2,10090,1063908560,118,4
3,9826,1063908560,89,2
4,9672,1063908560,160,2
5,9694,1063908560,254,4
6,2974,1160971567,115,3
7,241394,1203560567,223,2
8,4869,1239405989,44,3
9,16947,1107922757,89,2
10,4909,1221575601,25,4
11,236932,1203560567,17,3
12,236813,1203560567,236,4
13,236623,1203560567,236,4
14,235940,1203560567,44,3
15,14711,1075101206,44,5
16,239758,1203560567,103,3
17,236569,1203560567,236,3
18,235810,1203560567,44,3
19,235504,1203560567,44,3
20,9693,1063908560,236,5
21,236125,1203560567,175,3
22,4993,1239405989,103,5
23,48301,1197210433,11,5
24,15448,1197296889,175,3
25,9868,1063908560,103,3
26,235445,1203560567,175,3
27,4988,1239405989,103,3
28,48686,1197210433,115,3
29,235941,1203560567,142,4
30,235859,1203560567,142,4
31,5766,1351339368,142,4
32,9456,1370203419,103,0
33,29355,1308785417,103,0
34,235736,1203560567,142,4
35,238732,1203560567,103,0
36,236471,1203560567,236,4
37,3769,1172556372,103,4
38,9691,1063908560,111,4
39,14744,1075101206,111,5
40,15520,1197296889,111,4
41,9453,1370203419,103,0
42,14742,1075101206,111,4
43,236258,1203560567,111,2
44,236075,1203560567,111,4
45,235826,1203560567,111,3
46,4915,1239405989,236,3
47,235623,1203560567,143,3
48,4365,1168461049,215,4
49,7231,1215658351,215,4
50,235427,1203560567,111,3
51,236426,1203560567,100,4
52,236387,1203560567,100,4
53,48000,1197210433,100,3
54,3814,1219484576,215,4
55,4970,1221575601,215,4
56,235607,1203560567,100,2
57,4968,1221575601,215,4
58,7216,1215658351,215,4
59,4839,1239405989,100,3
60,6587,1498564557,99,2
61,48388,1197210433,236,3
62,6582,1498564557,99,3
63,6575,1498564557,99,3
64,13695,1001029560,99,4
65,4310,1168461049,100,4
66,21049,1199979298,99,4
67,6564,1498564557,99,5
68,4935,1239405989,115,3
69,4972,1221575601,99,2
70,6561,1498564557,99,5
71,3037,1160971567,126,2
72,235423,1203560567,100,3
73,235421,1203560567,100,3
74,8707,1557052991,99,3
75,237397,1203560567,236,3
76,235961,1203560567,199,3
